premise,hypothesis,category,label
باغین از آبادی‌های قدیم نزدیک شهر کرمان است.,باغین نام یک آبادی نزدیک شهر کرمان است که محصول اصلی آن زیره و شیرینیهای مخصوص کرمانی است. ,natural-wiki,0
دیگر روایاتی که پیرامون اقدامات طغرل بیان شده، بازسازی ابنیه و عمارات اصفهان پس از حمله به آن شهر و تخریب آن است، که حتی نظر ناصرخسرو را نیز جلب کرده و بیان کرده که نام طغرل را بر دروازهٔ شهر خان لنجان، واقع در هفت فرسنگی اصفهان، حک نمودند و مردم نیز به اصفهان بازگشتند.,از اقدامات طغرل تخریب بنا‌ها و عمارات تاریخی اصفهان پس از حمله به آن شهر است.,natural-wiki,2
 نرخ مشارکت اقتصادی در کل کشور 11.8 درصد به دست آمده است.,نرخ بیکاری جمعیت 10 ساله و بیشتر‌در کل کشور 11.8 درصد به دست آمده است.,natural-miras,1
در عوض ، پرداخت یارانه توسط صندوق اعتماد انجام شد.,پرداختی انجام نشد.,translation-train,2
قلعه در ۲۲ ژوئن سقوط کرد اما روز قبل از آن در ۲۱ ژوئن در طی حادثه معبد هوننو در کیوتو نوبوناگا مجبور به خودکشی اجباری شده بود.,هوننو در کیوتو نوبوناگا  در طی حادثه معبد زنده ماند.,natural-wiki,2
اخلاق هندو می گوید که راه رستگاری شامل سه مولفه است: عدالت ، کامیابی که صادقانه حاصل شود و لذت.,راه صادقانه رسیدن به کامیابی در متون هندو نوشته شده است.,translation-train,1
گرچه فیلم موفق بود اما نقش او در این میان نادیده گرفته شد.,در سال ۱۹۴۹ در فیلم اسکاری نامه‌ای به سه همسر ظاهر شد.,natural-wiki,1
عصر روز سوم شهریور و در حالی که پیشروی قوای بریتانیا و شوروی در شمال و جنوب خاک ایران ادامه داشت، رجبعلی منصور با مشاهده بحرانی بودن اوضاع تصمیم به استعفاء گرفت.,رجبعلی منصور به تلاش های خود برای کنترل اوضاع ادامه داد.,natural-wiki,2
ببین ، یک دلاور شهره در اینجا وجود دارد.,ببینید ، یک قهرمان مشهور در اینجا وجود دارد.,translation-dev,0
اما دوران موفقیت‌آمیز رایکوف با تاج ادامه نیافت و در جام تخت جمشید ۱۳۵۴ تاج به مقام چهارمی بسنده کرد.,او در جام تخت جمشید نایب قهرمان شد.,natural-wiki,2
بله بله این چیز خوبی است که آنها هیچ تبلیغاتی انجام نمی دهند که واقعاً خوب است که فقط موسیقی است.,خوب است ، فقط موسیقی است و هیچ تبلیغی نیست ، اما دی جی زیاد حرف میزند.,translation-train,1
پس از کشتن هیولاها سلاحهایشان را در اینجا و آنجا رها کرده اند که میشود آنها را در سراسر دنیا پیدا کرد و با استفاده از موادی که باید از بیرون خرید آنها را به میل خود تغییر داد. ,کشتن این موجودات خیلی کار سختی نیست.,natural-wiki,0
سپس او دوید.,او مانند یک ورزشکار دوید.,translation-dev,1
ریپس به اندازه کافی به دلیل پذیرش سند تکذیب خشمگین شد که وی وکیلی را گرفت،  که به مجله توصیه کرد که اتهامات موجود در مقاله منتشر شود ...,ریپس با پذیرش انکار و رفتار بی تفاوت آنها عصبانی شد ، بنابراین وی وکیلی گرفت که به مجله توصیه کند که اتهامات مربوط به آنها را انتشار دهند ...,translation-train,1
پرنیلامین,احتمالاً یک داروی ضد حساسیت است. ,natural-wiki,1
... رومن ، که شما تجربه زیادی در زمینه ارتباطات دارید.,رومن تجربه زیادی دارد.,translation-train,0
خوب او اهل کشوری است که صنعت قوی دارد.,او اهل اروپای شرقی بود.,translation-train,1
لینک‌های نرم محدودیت‌های لینک‌های سخت را نداشته و بنابراین آنها می‌توانند به دایرکتوری‌ها و حتی فایل‌های موجود در یک سیستم فایل دیگر رجوع کنند.,لینک‌های سخت نمی‌توانند به فایل‌های سیستم فایل دیگر رجوع کنند.,natural-wiki,0
سویا ممکن است سطح قندخون را پایین بیاورد پس افراد دیابتی یا کسانیکه قندخون پایینی دارند باید با احتیاط آن را مصرف کنند.,مصرف غلات برای کنترل قند خون مفید است.,natural-wiki,1
کارکیا سید احمد بن علی (حکومت: ۹۴۳–۹۷۵ و ۹۸۵–۱۰۰۰) به دستور شاه تهماسب مذهب اثنی عشری را جایگزین زیدیه کرد ولی وقتی شروع به توطئه با عثمانیان کرد و خواست برای حمله به قزوین به شیروان و لاهیجان سرباز بفرستند از چشم شاه افتاد.,توطئه با عثمانیان و فرستادن سرباز به شیروان و لاهیجان برای حمله به قزوین توسط کارکیا سید احمدبن علی، باعث شد از چشم شاه تهماسب بیفتد.,natural-wiki,0
آقای عباس خواستاراعلامیه ای کوتاه است که وضعیت بیت المقدس، آوارگان فلسطینی ومرزهای نهائی را مورد توجه قراردهد.,آقای عباس خواستاراعلامیه ای جامع است که وضعیت بیت المقدس، آوارگان فلسطینی ومرزهای نهائی را مورد توجه قراردهد.,natural-voa,2
من سعی می کنم به یکی از کسانی که توسط اتحادیه اعتباری حمایت مالی شده اند تغییر دهم اگرچه به نظر می رسد سود بسیار کمی داشته باشد.,من سعی کردم به یکی از بانک مرکزی آمریکا تغییر دهم.,translation-train,2
تعدادی از مردم در تونل گرفتارشدند 9 تير 1396 ساعت 19:00 تعدادی از مردم در این تونل در شهرستان لرستان گرفتارشده‌اند اما هنوز اطلاع دقیقی از تلفات این تونل در دست نیست.,پلیس ترافیک رفت آمد در جاده را ممنوع کرد.,natural-miras,1
کوه زیبد یکی از قله‌های مرتفع رشته کوه سیاه کوه یا قُهستان است.,سرسبزی رشته کوه های قهستان مثال زدنی است.,natural-wiki,1
همچنین یک موزه باستان شناسی وجود دارد که یادگارهای قدیمی تری را به نمایش می گذارد ، از جمله نمونه هایی از سفال های میکانا.,این موزه کاملاً خالی است و هیچ چیز در آن نیست.,translation-train,2
بعضی چارلز هنری سانسون را به عنوان یک مرد سادیست نگاه می‌کنند اما در واقع او همیشه از کارش لذت نمی‌برد.,روانشناسی لایه ها و بخشهایی دارد که خیلی پیچیده و بغرنج هستند. ,natural-wiki,1
